Year,Married Filing Jointly (Rates/Brackets),,Married Filing Jointly Salary,Married Filing Separately (Rates/Brackets),,Married Filing Separately Salary,Single Filer (Rates/Brackets),,Single Filer Salary,Head of Household (Rates/Brackets),,Head of Household Salary
,,,,,,,,,,,,
2023,10.00%,>,"$0 ",10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 
2023,12.00%,>,"$22,000 ",12.00%,>,"$11,000 ",12.00%,>,"$11,000 ",12.00%,>,"$15,700 "
2023,22.00%,>,"$89,450 ",22.00%,>,"$44,725 ",22.00%,>,"$44,725 ",22.00%,>,"$59,850 "
2023,24.00%,>,"$190,750 ",24.00%,>,"$95,375 ",24.00%,>,"$95,375 ",24.00%,>,"$95,350 "
2023,32.00%,>,"$364,200 ",32.00%,>,"$182,100 ",32.00%,>,"$182,100 ",32.00%,>,"$182,100 "
2023,35.00%,>,"$462,500 ",35.00%,>,"$231,250 ",35.00%,>,"$231,250 ",35.00%,>,"$231,250 "
2023,37.00%,>,"$693,750 ",37.00%,>,"$346,875 ",37.00%,>,"$578,125 ",37.00%,>,"$578,100 "
,,,,,,,,,,,,
2022,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 
2022,12.00%,>,"$20,550 ",12.00%,>,"$10,275 ",12.00%,>,"$10,275 ",12.00%,>,"$14,650 "
2022,22.00%,>,"$83,550 ",22.00%,>,"$41,775 ",22.00%,>,"$41,775 ",22.00%,>,"$55,900 "
2022,24.00%,>,"$178,150 ",24.00%,>,"$89,075 ",24.00%,>,"$89,075 ",24.00%,>,"$89,050 "
2022,32.00%,>,"$340,100 ",32.00%,>,"$170,050 ",32.00%,>,"$170,050 ",32.00%,>,"$170,050 "
2022,35.00%,>,"$431,900 ",35.00%,>,"$215,950 ",35.00%,>,"$215,950 ",35.00%,>,"$215,950 "
2022,37.00%,>,"$647,850 ",37.00%,>,"$323,925 ",37.00%,>,"$539,900 ",37.00%,>,"$539,900 "
,,,,,,,,,,,,
2021,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 
2021,12.00%,>,"$19,900 ",12.00%,>,"$9,950 ",12.00%,>,"$9,950 ",12.00%,>,"$14,200 "
2021,22.00%,>,"$81,050 ",22.00%,>,"$40,525 ",22.00%,>,"$40,525 ",22.00%,>,"$54,200 "
2021,24.00%,>,"$172,750 ",24.00%,>,"$86,375 ",24.00%,>,"$86,375 ",24.00%,>,"$86,350 "
2021,32.00%,>,"$329,850 ",32.00%,>,"$164,925 ",32.00%,>,"$164,925 ",32.00%,>,"$164,900 "
2021,35.00%,>,"$418,850 ",35.00%,>,"$209,425 ",35.00%,>,"$209,425 ",35.00%,>,"$209,400 "
2021,37.00%,>,"$628,301 ",37.00%,>,"$314,150 ",37.00%,>,"$523,600 ",37.00%,>,"$523,600 "
,,,,,,,,,,,,
2020,10.00%,>,$0.00 ,10.00%,>,$0.00 ,10.00%,>,$0.00 ,10.00%,>,$0.00 
2020,12.00%,>,"$19,750 ",12.00%,>,"$9,875 ",12.00%,>,"$9,875 ",12.00%,>,"$14,100 "
2020,22.00%,>,"$80,250 ",22.00%,>,"$40,125 ",22.00%,>,"$40,125 ",22.00%,>,"$53,700 "
2020,24.00%,>,"$171,050 ",24.00%,>,"$85,525 ",24.00%,>,"$85,525 ",24.00%,>,"$85,500 "
2020,32.00%,>,"$326,600 ",32.00%,>,"$163,300 ",32.00%,>,"$163,300 ",32.00%,>,"$163,300 "
2020,35.00%,>,"$414,700 ",35.00%,>,"$207,350 ",35.00%,>,"$207,350 ",35.00%,>,"$207,350 "
2020,37.00%,>,"$622,050 ",37.00%,>,"$311,025 ",37.00%,>,"$518,400 ",37.00%,>,"$518,400 "
,,,,,,,,,,,,
2019,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 
2019,12.00%,>,"$19,400 ",12.00%,>,"$9,700 ",12.00%,>,"$9,700 ",12.00%,>,"$13,850 "
2019,22.00%,>,"$78,950 ",22.00%,>,"$39,475 ",22.00%,>,"$39,475 ",22.00%,>,"$52,850 "
2019,24.00%,>,"$168,400 ",24.00%,>,"$84,200 ",24.00%,>,"$84,200 ",24.00%,>,"$84,200 "
2019,32.00%,>,"$321,450 ",32.00%,>,"$160,725 ",32.00%,>,"$160,725 ",32.00%,>,"$160,700 "
2019,35.00%,>,"$408,200 ",35.00%,>,"$204,100 ",35.00%,>,"$204,100 ",35.00%,>,"$204,100 "
2019,37.00%,>,"$612,350 ",37.00%,>,"$306,175 ",37.00%,>,"$510,300 ",37.00%,>,"$510,300 "
,,,,,,,,,,,,
2018,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 
